scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
"November 15, 2020",Actualizat ieri,70.000,Iasi,Miroslava ,House,N/A,3,N/A,N/A,75 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 23.08.2020,270.000,Iasi,Bucium ,House,Furnished,5,N/A,N/A,180 mp,2008
"November 15, 2020",Actualizat în 05.11.2020,79.000,Iasi,Miroslava ,House,N/A,3,N/A,N/A,102 mp,2019
"November 15, 2020",Actualizat în 03.11.2020,179.000,Iasi,Galata ,House,Furnished,6,N/A,N/A,200 mp,2015
"November 15, 2020",Actualizat în 20.08.2020,85.000,Iasi,Miroslava ,House,Unfurnished,4,N/A,N/A,110 mp,2020 (in constructie)
"November 15, 2020",Actualizat ieri,109.000,Iasi,Lunca Cetatuii ,House,N/A,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,68.000,Iasi,Lunca Cetatuii ,House,N/A,3,N/A,N/A,75 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 29.10.2020,81.900,Iasi,Central ,House,N/A,3,N/A,N/A,130 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,115.000,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,115 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,150.000,Iasi,Central ,House,Furnished,2,N/A,N/A,80 mp,1980
"November 15, 2020",Actualizat în 09.11.2020,380.000,Iasi,Nicolina ,House,Furnished,8,N/A,N/A,270 mp,2017
"November 15, 2020",Actualizat ieri,82.000,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,105 mp,2019
"November 15, 2020",Actualizat în 06.11.2020,157.000,Iasi,Bucium ,House,Furnished,4,N/A,N/A,130 mp,2016
"November 15, 2020",Actualizat ieri,320.000,Iasi,Popas Pacurari ,House,Furnished,5,N/A,N/A,240 mp,2016
"November 15, 2020",Actualizat în 02.11.2020,90.000,Iasi,Exterior Sud ,House,N/A,4,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,70.000,Iasi,Miroslava ,House,N/A,3,N/A,N/A,75 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 09.11.2020,134.000,Iasi,Galata ,House,N/A,5,N/A,N/A,116 mp,2020 (in constructie)
"November 15, 2020",Actualizat ieri,81.000,Iasi,Miroslava ,House,N/A,4,N/A,N/A,113.5 mp,2020
"November 15, 2020",Actualizat în 05.11.2020,78.500,Iasi,Valea Adânca ,House,N/A,4,N/A,N/A,100 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 21.08.2020,86.000,Iasi,Pacurari ,House,N/A,4,N/A,N/A,120 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 06.11.2020,93.000,Iasi,Moara de Vânt ,House,Furnished,7,N/A,N/A,95 mp,1996
"November 15, 2020",Actualizat în 30.10.2020,N/A,Iasi,Bucium ,House,Furnished,4,N/A,N/A,99.1 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 05.11.2020,110.000,Iasi,Valea Adânca ,House,N/A,5,N/A,N/A,140 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,85.000,Iasi,Lunca Cetatuii ,House,N/A,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,81.000,Iasi,Central ,House,N/A,3,N/A,N/A,82 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 26.08.2020,650.000,Iasi,Cug ,House,N/A,14,N/A,N/A,887 mp,2006
"November 15, 2020",Actualizat în 25.07.2020,500.000,Iasi,Copou ,House,N/A,8,N/A,N/A,400 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,87.000,Iasi,Central ,House,Unfurnished,5,N/A,N/A,130 mp,2015
"November 15, 2020",Actualizat în 05.11.2020,72.000,Iasi,Valea Adanca ,House,N/A,3,N/A,N/A,77 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 14.02.2020,131.500,Iasi,Copou ,House,Unfurnished,5,N/A,N/A,122 mp,2019
